source_facility_id,source_facility_name,source_county,dest_facility_id,dest_facility_name,dest_county,commodity_key,commodity_id,commodity_name,category,distance_km,available_excess,required_deficit,transferable_units,unit_cost,transfer_value,source_days_of_stock,dest_days_of_stock,cost_per_km_per_unit,estimated_transport_cost,roi,priority_score,cumulative_cost,recommendation
FAC0104,Kitui Dispensary,Mombasa,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,6.25,3.029,3.029,300.0,908.6999999999999,113.33333333333334,2.3183925811437405,2.5,0.378625,659.1350077069543,1528.1337118399251,0.378625,RECOMMEND
FAC0100,Mariakani Dispensary,Mombasa,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,4.0200000000000005,3.029,3.029,300.0,908.6999999999999,71.875,2.3183925811437405,2.5,0.378625,659.1350077069543,1528.1337118399251,0.75725,RECOMMEND
FAC0103,Ithanga Dispensary,Mombasa,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,6.800000000000001,3.029,3.029,300.0,908.6999999999999,127.14285714285714,2.3183925811437405,2.5,0.378625,659.1350077069543,1528.1337118399251,1.135875,RECOMMEND
FAC0121,Baraka Dispensary,Uasin Gishu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,7.619999999999999,2.922999999999999,2.922999999999999,300.0,876.8999999999997,241.66666666666666,2.037351443123939,2.5,0.3653749999999999,642.2411425432573,1308.4709185940726,1.5012499999999998,RECOMMEND
FAC0065,Soy Health Centre,Uasin Gishu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,6.02,2.922999999999999,2.922999999999999,300.0,876.8999999999997,74.26470588235293,2.037351443123939,2.5,0.3653749999999999,642.2411425432573,1308.4709185940726,1.8666249999999995,RECOMMEND
FAC0118,Mji Mwema Dispensary,Uasin Gishu,FAC0026,Moiben Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,4.66,2.922999999999999,2.922999999999999,300.0,876.8999999999997,98.52941176470588,2.037351443123939,2.5,0.3653749999999999,642.2411425432573,1308.4709185940726,2.2319999999999993,RECOMMEND
FAC0101,Shamba Dispensary,Mombasa,FAC0018,Changamwe Sub-County Hospital,Mombasa,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,2.4400000000000004,3.029,2.4400000000000004,300.0,732.0000000000001,56.52173913043479,2.3183925811437405,2.5,0.30500000000000005,560.9195402298851,1300.4317006875235,2.5369999999999995,RECOMMEND
FAC0118,Mji Mwema Dispensary,Uasin Gishu,FAC0025,Turbo Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,4.66,0.5800000000000003,0.5800000000000003,300.0,174.00000000000009,98.52941176470588,5.294117647058823,2.5,0.07250000000000002,162.23776223776233,858.9058000822711,2.6094999999999997,RECOMMEND
FAC0121,Baraka Dispensary,Uasin Gishu,FAC0025,Turbo Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,7.619999999999999,0.5800000000000003,0.5800000000000003,300.0,174.00000000000009,241.66666666666666,5.294117647058823,2.5,0.07250000000000002,162.23776223776233,858.9058000822711,2.682,RECOMMEND
FAC0065,Soy Health Centre,Uasin Gishu,FAC0025,Turbo Sub-County Hospital,Uasin Gishu,32,COM033,Insulin 100IU/ml vial,diabetes_medicines,50.0,6.02,0.5800000000000003,0.5800000000000003,300.0,174.00000000000009,74.26470588235293,5.294117647058823,2.5,0.07250000000000002,162.23776223776233,858.9058000822711,2.7545,RECOMMEND
